
# alpha	Actual delay	Mean estimate	Standard dev	Mean error
.01	15.000000	-4.320000	21.909030	-19.320000	
.02	15.000000	-12.220000	15.201368	-27.220000	
.03	15.000000	13.720000	10.651742	-1.280000	
.04	15.000000	23.750000	9.770491	8.750000	
.05	15.000000	24.300000	7.483983	9.300000	
.06	15.000000	19.710000	3.088187	4.710000	
.07	15.000000	15.720000	14.064267	0.720000	
.08	15.000000	12.520000	10.929026	-2.480000	
.09	15.000000	16.170000	8.510823	1.170000	
.10	15.000000	6.310000	22.376168	-8.690000	
.11	15.000000	-1.060000	23.423373	-16.060000	
.12	15.000000	-16.970000	26.655433	-31.970000	
.13	15.000000	-25.040000	19.282334	-40.040000	
.14	15.000000	-3.530000	24.266275	-18.530000	
.15	15.000000	3.070000	21.171776	-11.930000	
